position,source_text,context,line_no,module,type,document_name
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,To Date,,54,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,Range,,61,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,Weekly,,64,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,Monthly,,65,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,Quarterly,,66,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/patient_appointment_analytics/patient_appointment_analytics.js,Yearly,,67,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/diagnosis_trends/diagnosis_trends.js,Medical Department,,9,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/diagnosis_trends/diagnosis_trends.js,From Date,,15,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/diagnosis_trends/diagnosis_trends.js,To Date,,22,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/diagnosis_trends/diagnosis_trends.js,Range,,29,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/diagnosis_trends/diagnosis_trends.js,Weekly,,32,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/diagnosis_trends/diagnosis_trends.js,Monthly,,33,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/diagnosis_trends/diagnosis_trends.js,Quarterly,,34,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/diagnosis_trends/diagnosis_trends.js,Yearly,,35,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/diagnosis_trends/diagnosis_trends.py,Diagnosis,,72,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/diagnosis_trends/diagnosis_trends.py,Total,,89,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/inpatient_medication_orders/inpatient_medication_orders.js,Company,,9,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/inpatient_medication_orders/inpatient_medication_orders.js,From Date,,17,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/inpatient_medication_orders/inpatient_medication_orders.js,To Date,,24,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/inpatient_medication_orders/inpatient_medication_orders.js,Patient,,31,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/inpatient_medication_orders/inpatient_medication_orders.js,Healthcare Service Unit,,37,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/report/inpatient_medication_orders/inpatient_medication_orders.js,Show Completed Orders,,52,,,
