position,source_text,context,line_no,module,type,document_name
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress_sidebar.html,Total Therapy Sessions: ,,18,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress_sidebar.html,Monthly Therapy Sessions: ,,21,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress_sidebar.html,Patient Profile,,25,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress_sidebar.html,Therapy Plan,,26,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress_sidebar.html,Patient History,,27,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress.py,Targetted,,99,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress.py,Completed,,100,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress.py,Score Obtained,,123,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress.py,Sessions,,150,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress.py,Average Score,,151,,,
../apps/translator/translator/translator/doctype/extract_strings_job/fixtures/healthcare/healthcare/healthcare/page/patient_progress/patient_progress.py,Score,,189,,,
